_pmid,_doi,_publicationTitle,_year,_confidence,_toolType,resourceName,resourceType,rrid,synonyms,description,aiSummary,howToAcquire
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.95,animal_model,129T2/SvEmsJ::C57Bl/6NTac Nf1+/+ and Nf1+/- mice,Animal Model,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,antibody,Anti-tyrosine hydroxylase (Rabbit polyclonal),Antibody,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,antibody,Anti-tyrosine hydroxylase (mouse monoclonal),Antibody,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,antibody,Anti-GFP (mouse polyclonal),Antibody,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.85,antibody,Alexa Fluor 488-conjugated donkey anti-chicken IgY F(ab')two fragment,Antibody,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.85,antibody,Alexa Fluor 647-conjugated donkey anti-mouse IgG Fab fragment,Antibody,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.95,genetic_reagent,pAAV-hSyn-dLight1.2,Genetic Reagent,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,genetic_reagent,pAAV-hSyn-hChR2(H134R)-EYFP,Genetic Reagent,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,genetic_reagent,AAV9-Th-PI-Cre-SV40,Genetic Reagent,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,genetic_reagent,pAAV-DJ-Ef1α-DO-eNpHR3.0-eYFP-WPRE-pA,Genetic Reagent,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,genetic_reagent,pAAV-DJ-Ef1α-DO-mCherry-WPRE-pA,Genetic Reagent,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,genetic_reagent,pAAV-ihSyn1-tTA-WPRE,Genetic Reagent,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,genetic_reagent,pAAV-Th-tTA-WPRE,Genetic Reagent,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,genetic_reagent,pAAV-TRE-mRuby-WPRE,Genetic Reagent,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,genetic_reagent,pAAV-TRE-mTurquoise-WPRE,Genetic Reagent,,,,,
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,,0.9,genetic_reagent,pAAV-Th-GFP-WPRE,Genetic Reagent,,,,,
